time,open,high,low,close,Volume,Volume MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,WMA,%K,%D
2014-04-09T10:00:00+03:00,6590.6899,6654.0498,6590.4102,6635.6099,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6617.68995,6651.509770039215,69.91482305798448,61.82413379685585
2014-04-10T10:00:00+03:00,6635.6099,6688.2798,6620.3901,6641.9702,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6646.5625,6651.0532603921565,66.83835273497657,65.7839727364318
2014-04-11T10:00:00+03:00,6641.9702,6641.9702,6538.75,6561.7002,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6596.09765,6647.367715450981,52.291234309938865,67.5852463965995
2014-04-14T10:00:00+03:00,6561.7002,6583.7598,6507.0801,6583.7598,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6559.0749749999995,6644.507048705884,47.80166591290148,68.00866084544083
2014-04-15T10:00:00+03:00,6583.7598,6594.2402,6534.2002,6541.6099,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6563.452525,6639.900817568627,42.09005202644164,66.66739154747411
2014-04-16T10:00:00+03:00,6541.6099,6596.9902,6541.6099,6584.1699,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6566.094975,6636.891182588235,36.90349669730428,63.69107612636367
2014-04-17T10:00:00+03:00,6584.1699,6627.25,6559.3501,6625.25,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6599.005,6635.393488941175,35.20392882848205,59.605066733309286
2014-04-22T10:00:00+03:00,6625.25,6706.1899,6625.25,6681.7598,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6659.612425,6636.0593402352915,48.293648941557194,56.01868868688523
2014-04-23T10:00:00+03:00,6681.7598,6694.8198,6661.4199,6674.7402,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6678.1849250000005,6636.363576156864,57.425490452911525,53.22331569329789
2014-04-24T10:00:00+03:00,6674.7402,6724.5801,6667.6499,6703,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6692.49255,6637.710792156862,71.97530475054798,52.8737997713046
2014-04-25T10:00:00+03:00,6703,6704.3701,6657.2998,6685.6899,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6687.5899500000005,6638.355384784313,80.66157360231662,53.94847482573781
2014-04-28T10:00:00+03:00,6685.6899,6720.3301,6682.8999,6700.1602,NaN,NaN,NaN,NaN,NaN,6740.042474888525,NaN,NaN,6697.270025,6639.5590792941175,86.55517246054553,55.920156798294705
2014-04-29T10:00:00+03:00,6700.1602,6769.9102,6700.1001,6769.9102,NaN,NaN,6553.726902028276,6553.726902028276,6553.726902028276,NaN,NaN,NaN,6735.020175,6643.466114745098,89.02230454997456,59.59326382229828
2014-04-30T10:00:00+03:00,6769.9102,6794.8799,6748.7598,6780.0298,NaN,NaN,6594.833396825447,NaN,NaN,NaN,NaN,NaN,6773.394925,6647.68663247059,91.16203028778159,63.929300259786295
2014-05-01T10:00:00+03:00,6780.0298,6811.6401,6773.6899,6808.8701,NaN,NaN,6621.992132142903,NaN,NaN,NaN,NaN,NaN,6793.5574750000005,6653.003609176471,92.96450553935995,69.01674561107812
2014-05-02T10:00:00+03:00,6808.8701,6838.1699,6798.6099,6822.4199,NaN,NaN,6652.916318928613,NaN,NaN,NaN,NaN,NaN,6817.01745,6658.842193803922,95.58921236767931,74.88531717811563
2014-05-06T10:00:00+03:00,6822.4199,6828.6201,6785.3198,6798.5601,NaN,NaN,6652.916318928613,NaN,NaN,NaN,NaN,NaN,6808.729975,6663.724935372549,95.44202815916825,80.90912711118425
2014-05-07T10:00:00+03:00,6798.5601,6799.3398,6766.8398,6796.4399,NaN,NaN,6652.916318928613,NaN,NaN,NaN,NaN,NaN,6790.2949,6668.535849568626,92.6963597586665,85.34939819289518
2014-05-08T10:00:00+03:00,6796.4399,6840.3701,6796.4399,6839.25,NaN,NaN,6665.29872649896,NaN,NaN,NaN,NaN,NaN,6818.124975000001,6675.058234509804,93.65335085462385,88.97218423306641
2014-05-09T10:00:00+03:00,6839.25,6839.4199,6805.3901,6814.5698,NaN,NaN,6674.400413849063,NaN,NaN,NaN,NaN,NaN,6824.657450000001,6680.633638980392,91.99906301949316,90.97456005996094
2014-05-12T10:00:00+03:00,6814.5698,6851.75,6814.5698,6851.75,NaN,NaN,6688.801712464157,NaN,NaN,NaN,NaN,NaN,6833.159900000001,6687.679584784313,92.95046653600137,92.2034493533294
2014-05-13T10:00:00+03:00,6851.75,6877.3901,6845.9502,6873.0801,NaN,NaN,6722.315811217742,NaN,NaN,NaN,NaN,NaN,6862.0426,6695.5207501176465,94.95150136624135,93.04308224389898
2014-05-14T10:00:00+03:00,6873.0801,6880.0698,6854.02,6878.4902,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6871.415025,6703.524813411765,97.55535533930671,93.8963873228322
2014-05-15T10:00:00+03:00,6878.4902,6894.8799,6821.6602,6840.8901,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6858.9801,6710.000410039217,93.0853619327523,94.08872048732927
2014-05-16T10:00:00+03:00,6840.8901,6855.9399,6813.5,6855.8101,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6841.535025,6716.957151764707,91.23537358648366,93.91580729204165
2014-05-19T10:00:00+03:00,6855.8101,6862.2002,6804.3101,6844.5498,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6841.71755,6723.447183607845,86.0674762993933,92.96363368521305
2014-05-20T10:00:00+03:00,6844.5498,6848.3599,6792.5098,6802,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6821.854875,6728.214376313725,73.74631734861842,90.79406260415809
2014-05-21T10:00:00+03:00,6802,6821.04,6782.7998,6821.04,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6806.719950000001,6733.717639764705,62.35426074658825,87.75985270295025
2014-05-22T10:00:00+03:00,6821.04,6846.5698,6810.1899,6820.5601,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6824.58995,6739.117087450982,55.29040544648001,83.92355816213588
2014-05-23T10:00:00+03:00,6820.5601,6825.5298,6793.4702,6815.75,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6813.827525,6744.225072470588,46.61640872376425,79.38529273256299
2014-05-27T10:00:00+03:00,6815.75,6857.1001,6815.3701,6844.9399,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6833.290025,6750.375618274508,43.983624818009616,74.48860856076381
2014-05-28T10:00:00+03:00,6844.9399,6855.8301,6833.6099,6851.2202,NaN,NaN,6733.811055095968,NaN,NaN,NaN,NaN,NaN,6846.400025,6756.5967327058825,48.90563800852437,69.8840222249921
2014-05-29T10:00:00+03:00,6851.2202,6882.1401,6848.0601,6871.29,NaN,NaN,6740.132614137266,NaN,NaN,NaN,NaN,NaN,6863.1776,6763.371611529412,56.23003741903267,65.75149043296469
2014-05-30T10:00:00+03:00,6871.29,6874.3301,6831.9902,6844.5098,NaN,NaN,6740.132614137266,NaN,NaN,NaN,NaN,NaN,6855.530025,6768.82695317647,58.850636816667304,62.32801792135619
